time,ax,ay,az,wx,wy,wz,Bx,By,Bz
2023-10-17 22:19:30.9500,0.0,0.18,0.07,-0.15,-0.04,0.0,6.21,102.26,-626.29
2023-10-17 22:19:30.9600,-0.08,0.04,0.11,-0.13,-0.03,0.01,6.23,101.93,-626.74
2023-10-17 22:19:30.9700,-0.07,-0.01,0.11,-0.11,-0.02,0.02,6.34,101.61,-626.66
2023-10-17 22:19:30.9800,-0.02,-0.03,0.11,-0.07,-0.01,0.02,6.05,101.66,-626.9
2023-10-17 22:19:30.9900,0.0,-0.05,0.11,-0.04,-0.0,0.01,5.91,101.62,-626.89
2023-10-17 22:19:31.0000,0.03,-0.05,0.1,-0.04,0.0,0.01,6.23,101.92,-627.03
2023-10-17 22:19:31.0100,0.02,-0.04,0.06,-0.05,0.02,0.01,6.13,102.18,-627.04
2023-10-17 22:19:31.0200,-0.03,-0.03,-0.03,-0.06,0.03,0.01,5.97,101.78,-626.59
2023-10-17 22:19:31.0300,-0.05,-0.03,-0.09,-0.07,0.04,0.01,6.25,101.88,-626.79
2023-10-17 22:19:31.0400,-0.08,-0.03,-0.08,-0.08,0.03,0.01,6.22,101.91,-626.7
2023-10-17 22:19:31.0510,-0.07,0.01,-0.03,-0.09,0.02,0.01,6.63,102.0,-627.37
2023-10-17 22:19:31.0610,0.0,-0.03,0.02,-0.08,0.01,0.01,6.32,102.3,-626.72
2023-10-17 22:19:31.0710,0.04,-0.05,0.08,-0.07,-0.01,0.01,5.81,101.99,-626.72
2023-10-17 22:19:31.0810,0.03,-0.04,0.13,-0.05,-0.02,0.01,6.0,102.12,-626.46
2023-10-17 22:19:31.0910,0.0,-0.02,0.14,-0.03,-0.02,0.01,5.9,101.76,-626.72
2023-10-17 22:19:31.1010,-0.05,-0.01,0.13,-0.02,-0.02,0.02,6.12,101.96,-626.37
2023-10-17 22:19:31.1110,-0.05,0.02,0.07,-0.01,-0.01,0.02,6.2,101.79,-626.93
2023-10-17 22:19:31.1210,-0.03,0.04,0.01,-0.01,0.0,0.02,5.75,102.51,-626.71
2023-10-17 22:19:31.1310,-0.04,0.05,-0.05,-0.02,0.01,0.02,6.01,102.33,-626.82
2023-10-17 22:19:31.1420,-0.06,0.07102788269519807,-0.1987375044822693,-0.04,0.03,0.03,6.21,102.12,-626.43
2023-10-17 22:19:31.1510,-0.06,0.07,-0.2,-0.06,0.04,0.03,5.9,101.34,-626.95
2023-10-17 22:19:31.1610,-0.05,0.07,-0.29,-0.06,0.02,0.02,6.22,101.88,-626.89
2023-10-17 22:19:31.1710,-0.04,0.0,-0.26,-0.07,-0.01,0.02,5.96,101.73,-627.05
2023-10-17 22:19:31.1810,0.0,-0.03,-0.16,-0.08,-0.02,0.02,6.27,101.93,-626.22
2023-10-17 22:19:31.1910,0.04,-0.05,-0.09,-0.08,-0.02,0.02,6.4,101.73,-627.24
2023-10-17 22:19:31.2010,0.05,-0.04,-0.07,-0.09,-0.02,0.02,5.93,102.02,-626.63
2023-10-17 22:19:31.2110,0.03,-0.02,-0.05,-0.1,-0.01,0.02,6.06,101.65,-627.16
2023-10-17 22:19:31.2220,0.01,0.02,0.01,-0.1,-0.0,0.02,6.12,102.0,-626.42
2023-10-17 22:19:31.2320,-0.03,0.03,0.07,-0.09,0.0,0.03,5.9,101.25,-626.89
2023-10-17 22:19:31.2420,-0.09,0.01,0.14,-0.08,0.02,0.03,5.94,102.01,-625.87
2023-10-17 22:19:31.2520,-0.07,0.01,0.16,-0.06,0.01,0.03,6.42,101.22,-626.53
2023-10-17 22:19:31.2620,-0.04,0.0,0.18,-0.04,0.0,0.01,6.17,101.75,-626.18
